id_educador,cuentas,pacientes,prioridad_prom,distancia_km,tiempo_horas,dificultad_prom,cuentas_fuera_estado,dispersion_km,cuentas_norm,pacientes_norm,prioridad_prom_norm,distancia_km_norm,tiempo_horas_norm,dificultad_prom_norm,cuentas_fuera_estado_norm,dispersion_km_norm,ScoreNecesidad,seleccionado
12,7,116,2.142857142857143,8244.998580577754,137.41664300962924,2.0,7,1244.9096140182394,1.0,0.9550561797752808,0.5864661654135339,1.0,1.0,0.375,1.0,0.7590280859191229,0.845804469037763,True
14,6,95,2.333333333333333,6357.667939830594,105.96113233050988,2.5,6,1198.845564865935,0.8,0.7191011235955056,0.7368421052631581,0.7217757209505515,0.7217757209505513,0.8437500000000001,0.8,0.7153723404724397,0.7560075760093707,True
13,6,89,2.6666666666666665,5824.419568244379,97.07365947073964,2.1666666666666665,6,1099.2013204000982,0.8,0.651685393258427,1.0,0.6431659423904297,0.6431659423904296,0.5312499999999999,0.8,0.6209376598119344,0.7442535642492927,True
16,7,120,1.7142857142857142,6167.335623862919,102.78892706438197,2.142857142857143,7,1255.4616247151096,1.0,1.0,0.2481203007518797,0.693717536419115,0.6937175364191146,0.5089285714285714,1.0,0.7690284202668515,0.7239463013980119,True
2,6,103,2.0,7302.388092248076,121.70646820413458,2.0,6,1499.1749342176834,0.8,0.8089887640449438,0.4736842105263159,0.8610433604595374,0.8610433604595373,0.375,0.8,1.0,0.7092954350291363,True
11,6,102,1.8333333333333333,4765.036461322547,79.41727435537578,2.0,6,937.9544807856564,0.8,0.797752808988764,0.3421052631578947,0.4869950548962243,0.4869950548962242,0.375,0.8,0.468121068265333,0.5872203781533878,True
8,5,81,2.2,6714.839416027083,111.91399026711804,1.6,5,753.9521825473795,0.6,0.5617977528089888,0.6315789473684212,0.7744288037312428,0.7744288037312427,0.0,0.6,0.2937387106281276,0.5822825409682928,False
9,5,74,2.0,4756.002536524191,79.26670894206984,2.4,5,1192.8648632745446,0.6,0.4831460674157303,0.4736842105263159,0.4856633024413313,0.4856633024413312,0.75,0.6,0.7097043197258687,0.537781881198742,False
5,5,77,2.0,3724.7310832682806,62.07885138780467,2.0,5,1056.547619283958,0.6,0.5168539325842697,0.4736842105263159,0.3336365455012679,0.3336365455012679,0.375,0.6,0.5805139638374788,0.4690167649974341,False
1,5,87,2.6,1477.4037548971935,24.62339591495323,1.6,5,444.0091437591937,0.6,0.6292134831460674,0.9473684210526316,0.0023426999901077,0.0023426999901077,0.0,0.6,0.0,0.4659020558372668,False
10,4,69,1.75,4506.432089147903,75.10720148579838,2.5,4,1476.5366339976422,0.4,0.4269662921348314,0.2763157894736843,0.4488724210270247,0.4488724210270247,0.8437500000000001,0.4,0.9785452670805368,0.4372495215784593,False
3,5,61,1.4,5492.857656581816,91.54762760969692,2.0,5,909.7367387790184,0.6,0.3370786516853932,0.0,0.5942881401437317,0.5942881401437315,0.375,0.6,0.4413785958862987,0.4034877653730115,False
4,5,79,1.8,1461.51208114207,24.35853468570117,2.2,5,448.5531337334109,0.6,0.5393258426966292,0.3157894736842106,0.0,0.0,0.5625000000000002,0.6,0.0043064227586859,0.377273063276168,False
6,3,56,1.6666666666666667,2993.6825733479964,49.89470955579994,2.6666666666666665,3,839.3304410620314,0.2,0.2808988764044944,0.2105263157894738,0.2258676997932239,0.2258676997932239,1.0,0.2,0.37465325437727,0.3047519633870996,False
7,3,39,1.6666666666666667,3433.021642960321,57.217027382672015,2.333333333333333,3,650.6181822404673,0.2,0.0898876404494382,0.2105263157894738,0.2906336678022814,0.2906336678022813,0.6875000000000002,0.2,0.1958071805867569,0.2514912081983528,False
15,2,31,1.5,1699.484213372801,28.324736889546685,2.5,2,502.5644116682655,0.0,0.0,0.0789473684210527,0.0350810946923131,0.0350810946923131,0.8437500000000001,0.0,0.0554939028904912,0.1089347473572888,False
